Food,FoodCategory,Condition,Benefit,Key_Nutrient,Serving_Size,Frequency,Evidence_Level,Recommendation,Source
Oats,Whole Grain,Diabetes,Lowers blood glucose and improves insulin sensitivity,Beta-glucan fiber,40,g,Daily,Strong,Highly Recommended,ADA
Oats,Whole Grain,High Cholesterol,Reduces LDL cholesterol significantly,Soluble fiber beta-glucan,40,g,Daily,Strong,Highly Recommended,AHA
Oats,Whole Grain,Heart Disease,Reduces cardiovascular risk,Soluble fiber antioxidants,40,g,Daily,Strong,Highly Recommended,AHA
Oats,Whole Grain,Obesity,Promotes satiety and reduces caloric intake,Fiber protein,40,g,Daily,Moderate,Recommended,WHO
Oats,Whole Grain,Hypertension,Modest blood pressure lowering effect,Magnesium potassium,40,g,Daily,Moderate,Recommended,AHA
Brown Rice,Whole Grain,Diabetes,Lower glycemic index than white rice,Fiber magnesium,75,g,Daily,Moderate,Recommended,ADA
Brown Rice,Whole Grain,Obesity,Higher satiety than refined grains,Fiber B vitamins,75,g,Daily,Moderate,Recommended,WHO
Brown Rice,Whole Grain,Heart Disease,Reduces cardiovascular risk,Fiber antioxidants,75,g,Daily,Moderate,Recommended,AHA
Quinoa,Whole Grain,Diabetes,Complete protein with low glycemic index,Protein fiber magnesium,75,g,3-4 times/week,Moderate,Recommended,ADA
Quinoa,Whole Grain,PCOS,Low GI helps insulin management,Protein fiber,75,g,3-4 times/week,Moderate,Recommended,NHS
Quinoa,Whole Grain,Obesity,High protein satiety-promoting grain,Protein fiber,75,g,3-4 times/week,Moderate,Recommended,WHO
Spinach,Leafy Green,Hypertension,Rich in nitrates and potassium lowering BP,Nitrates potassium,100,g,Daily,Strong,Highly Recommended,AHA
Spinach,Leafy Green,Diabetes,Low glycemic anti-inflammatory,Magnesium antioxidants,100,g,Daily,Strong,Highly Recommended,ADA
Spinach,Leafy Green,Heart Disease,Antioxidants and folate protect the heart,Folate vitamin K,100,g,Daily,Strong,Highly Recommended,AHA
Spinach,Leafy Green,PCOS,Anti-inflammatory magnesium-rich,Magnesium iron,100,g,Daily,Strong,Highly Recommended,NHS
Spinach,Leafy Green,High Cholesterol,Fiber and sterols help lower cholesterol,Plant sterols fiber,100,g,Daily,Moderate,Recommended,AHA
Kale,Leafy Green,Heart Disease,Rich in antioxidants and vitamin K,Vitamin K antioxidants,80,g,4-5 times/week,Strong,Highly Recommended,AHA
Kale,Leafy Green,High Cholesterol,Bile acid sequestrant lowers LDL,Fiber plant sterols,80,g,4-5 times/week,Strong,Highly Recommended,AHA
Kale,Leafy Green,Diabetes,Low carb anti-inflammatory,Vitamin C magnesium,80,g,4-5 times/week,Moderate,Recommended,ADA
Kale,Leafy Green,Obesity,Very low calorie high nutrient density,Fiber vitamins,80,g,4-5 times/week,Moderate,Recommended,WHO
Broccoli,Cruciferous Vegetable,Heart Disease,Sulforaphane reduces cardiovascular inflammation,Sulforaphane fiber,100,g,4-5 times/week,Strong,Highly Recommended,AHA
Broccoli,Cruciferous Vegetable,Diabetes,Low GI and insulin-sensitizing,Chromium fiber,100,g,4-5 times/week,Moderate,Recommended,ADA
Broccoli,Cruciferous Vegetable,Fatty Liver,Protects liver from oxidative stress,Sulforaphane antioxidants,100,g,4-5 times/week,Moderate,Recommended,NHS
Broccoli,Cruciferous Vegetable,High Cholesterol,Fiber and sterols reduce LDL,Fiber plant sterols,100,g,4-5 times/week,Moderate,Recommended,AHA
Blueberries,Berries,Heart Disease,Anthocyanins reduce cardiovascular risk,Anthocyanins antioxidants,80,g,Daily,Strong,Highly Recommended,AHA
Blueberries,Berries,Diabetes,Low GI improves insulin sensitivity,Anthocyanins fiber,80,g,Daily,Strong,Highly Recommended,ADA
Blueberries,Berries,Hypertension,Anthocyanins lower blood pressure,Anthocyanins potassium,80,g,Daily,Strong,Highly Recommended,AHA
Blueberries,Berries,Obesity,Low calorie high antioxidant snack,Fiber antioxidants,80,g,Daily,Moderate,Recommended,WHO
Blueberries,Berries,Fatty Liver,Antioxidants protect liver tissue,Anthocyanins resveratrol,80,g,Daily,Moderate,Recommended,NHS
Strawberries,Berries,Diabetes,Low GI with anti-inflammatory properties,Vitamin C anthocyanins,100,g,Daily,Moderate,Recommended,ADA
Strawberries,Berries,Heart Disease,Reduces LDL oxidation,Antioxidants folate,100,g,Daily,Moderate,Recommended,AHA
Strawberries,Berries,High Cholesterol,Polyphenols improve lipid profile,Polyphenols fiber,100,g,Daily,Moderate,Recommended,AHA
Salmon,Fatty Fish,Heart Disease,Omega-3 reduces cardiovascular mortality,EPA DHA omega-3,100,g,2-3 times/week,Strong,Highly Recommended,AHA
Salmon,Fatty Fish,Hypertension,Omega-3 lowers blood pressure,Omega-3 potassium,100,g,2-3 times/week,Strong,Highly Recommended,AHA
Salmon,Fatty Fish,Diabetes,Omega-3 improves insulin sensitivity,Omega-3 protein,100,g,2-3 times/week,Strong,Highly Recommended,ADA
Salmon,Fatty Fish,High Cholesterol,Omega-3 raises HDL lowers triglycerides,Omega-3 EPA DHA,100,g,2-3 times/week,Strong,Highly Recommended,AHA
Salmon,Fatty Fish,Hypothyroidism,Rich in iodine and selenium for thyroid,Iodine selenium,100,g,2-3 times/week,Strong,Highly Recommended,NHS
Mackerel,Fatty Fish,Heart Disease,High omega-3 reduces cardiac risk,EPA DHA,100,g,2-3 times/week,Strong,Highly Recommended,AHA
Mackerel,Fatty Fish,High Cholesterol,Omega-3 improves lipid profile,Omega-3 protein,100,g,2-3 times/week,Strong,Highly Recommended,AHA
Sardines,Fatty Fish,Kidney Disease,Low potassium omega-3 source,Omega-3 calcium,85,g,2 times/week,Moderate,Recommended,NKF
Sardines,Fatty Fish,Hypertension,Omega-3 and calcium lower BP,Omega-3 calcium,85,g,2 times/week,Moderate,Recommended,AHA
Lentils,Legumes,Diabetes,Very low GI slows glucose absorption,Protein fiber,100,g,3-4 times/week,Strong,Highly Recommended,ADA
Lentils,Legumes,Heart Disease,Soluble fiber reduces cholesterol,Soluble fiber plant protein,100,g,3-4 times/week,Strong,Highly Recommended,AHA
