rule_id,condition,sub_condition,nutrient,threshold_min,threshold_max,unit,restriction_level,ingredient_flag,risk_weight,guideline_source,recommendation
HYP001,Hypertension,Stage 1,sodium,0.0,1500.0,mg/day,strict,salt,0.95,WHO/AHA,Limit sodium to under 1500mg/day to reduce blood pressure
HYP002,Hypertension,Stage 1,potassium,3500.0,4700.0,mg/day,recommended,low_potassium_foods,0.85,AHA,Increase potassium intake through bananas and leafy greens
HYP003,Hypertension,Stage 1,saturated_fat,0.0,7.0,g/day,moderate,butter,0.8,AHA,Reduce saturated fat intake to lower cardiovascular risk
HYP004,Hypertension,Stage 1,alcohol,0.0,0.0,units/day,strict,alcohol,0.9,WHO,Avoid alcohol as it raises blood pressure
HYP005,Hypertension,Stage 1,magnesium,310.0,420.0,mg/day,recommended,processed_foods,0.75,AHA,Adequate magnesium helps regulate blood pressure
HYP006,Hypertension,Stage 2,sodium,0.0,1200.0,mg/day,strict,salt,0.98,WHO/AHA,Severely restrict sodium to under 1200mg/day
HYP007,Hypertension,Stage 2,saturated_fat,0.0,5.0,g/day,strict,red_meat,0.88,AHA,Strictly limit saturated fats in Stage 2 hypertension
HYP008,Hypertension,Stage 2,caffeine,0.0,200.0,mg/day,moderate,coffee,0.7,NHS,Limit caffeine as it may cause short-term BP spikes
HYP009,Hypertension,Stage 2,fiber,25.0,40.0,g/day,recommended,refined_grains,0.78,AHA,High fiber diet lowers blood pressure
HYP010,Hypertension,Stage 2,omega3,1000.0,3000.0,mg/day,recommended,fried_foods,0.82,AHA,Omega-3 fatty acids reduce cardiovascular risk
HYP011,Hypertension,General,trans_fat,0.0,0.0,g/day,strict,margarine,0.95,WHO,Zero trans fat intake for hypertensive patients
HYP012,Hypertension,General,calcium,1000.0,1200.0,mg/day,recommended,low_calcium_foods,0.72,AHA,Adequate calcium contributes to blood pressure regulation
HYP013,Hypertension,General,processed_food,0.0,0.0,servings/day,strict,processed_meat,0.9,NHS,Avoid processed foods high in hidden sodium
HYP014,Hypertension,General,added_sugar,0.0,25.0,g/day,moderate,sugary_drinks,0.75,WHO,Excess sugar raises blood pressure indirectly
HYP015,Hypertension,General,total_fat,0.0,55.0,g/day,moderate,deep_fried,0.8,AHA,Keep total fat under 30% of daily calories
HYP016,Hypertension,DASH Diet,fruits,4.0,5.0,servings/day,recommended,canned_fruit_syrup,0.7,AHA/DASH,Follow DASH diet with adequate fruit servings
HYP017,Hypertension,DASH Diet,vegetables,4.0,5.0,servings/day,recommended,pickled_vegetables,0.72,AHA/DASH,Increase fresh vegetable intake for DASH compliance
HYP018,Hypertension,DASH Diet,whole_grains,6.0,8.0,servings/day,recommended,white_bread,0.68,AHA/DASH,Choose whole grains over refined carbohydrates
HYP019,Hypertension,DASH Diet,low_fat_dairy,2.0,3.0,servings/day,recommended,full_fat_dairy,0.65,AHA/DASH,Use low-fat dairy instead of full-fat options
HYP020,Hypertension,DASH Diet,lean_protein,1.0,2.0,servings/day,recommended,processed_protein,0.7,AHA/DASH,Choose lean poultry and fish over red meat
HYP021,Hypertension,Resistant,sodium,0.0,1000.0,mg/day,strict,any_added_salt,0.99,AHA,Resistant hypertension requires severe sodium restriction
HYP022,Hypertension,Resistant,alcohol,0.0,0.0,units/day,strict,alcohol,0.97,AHA,Alcohol abstinence essential for resistant hypertension
HYP023,Hypertension,Resistant,caffeine,0.0,100.0,mg/day,strict,energy_drinks,0.88,AHA,Caffeine restriction important in resistant hypertension
HYP024,Hypertension,Elderly,sodium,0.0,1500.0,mg/day,strict,restaurant_food,0.93,WHO,Sodium restriction in elderly hypertensives reduces stroke risk
HYP025,Hypertension,Elderly,potassium,3500.0,4700.0,mg/day,recommended,potassium_poor,0.85,WHO,Potassium particularly important for elderly hypertensives
HYP026,Hypertension,Elderly,calcium,1200.0,1500.0,mg/day,recommended,low_calcium,0.8,WHO,Adequate calcium important for both BP and bone health in elderly
HYP027,Hypertension,With Diabetes,sodium,0.0,1500.0,mg/day,strict,processed_food,0.97,ADA/AHA,Combined hypertension and diabetes needs strict sodium control
HYP028,Hypertension,With Diabetes,saturated_fat,0.0,7.0,g/day,strict,fatty_foods,0.95,ADA/AHA,Dual restriction for hypertension plus diabetes combination
HYP029,Hypertension,With Diabetes,sugar,0.0,25.0,g/day,strict,desserts,0.95,ADA/AHA,Strict sugar control needed for hypertension-diabetes comorbidity
HYP030,Hypertension,With CKD,sodium,0.0,1500.0,mg/day,strict,sodium_rich,0.98,NKF/AHA,Triple threat of hypertension CKD requires strict sodium limits
HYP031,Hypertension,Pregnancy,sodium,0.0,2000.0,mg/day,moderate,processed_food,0.9,WHO/NHS,Moderate sodium during pregnancy-related hypertension
HYP032,Hypertension,Pregnancy,calcium,1000.0,1500.0,mg/day,recommended,low_dairy,0.85,WHO,Calcium supplementation may reduce preeclampsia risk
HYP033,Hypertension,Pregnancy,magnesium,310.0,400.0,mg/day,recommended,low_magnesium,0.82,WHO,Magnesium supports blood pressure control in pregnancy
HYP034,Hypertension,Pregnancy,caffeine,0.0,200.0,mg/day,moderate,coffee,0.8,NHS,Limit caffeine in pregnancy-related hypertension
HYP035,Hypertension,Vegetarian,sodium,0.0,1500.0,mg/day,strict,soy_sauce,0.93,AHA,Soy sauce and miso are hidden sodium sources for vegetarians
HYP036,Hypertension,Vegetarian,potassium,3500.0,4700.0,mg/day,recommended,low_veg,0.85,AHA,Vegetarian diets are typically high in beneficial potassium
HYP037,Hypertension,Vegetarian,calcium,1000.0,1200.0,mg/day,recommended,low_calcium_veg,0.8,AHA,Non-dairy calcium sources needed for vegetarian hypertensives
HYP038,Hypertension,South Asian,ghee,0.0,2.0,teaspoons/day,moderate,ghee,0.85,FSSAI,Ghee is high in saturated fat common in South Asian diets
HYP039,Hypertension,South Asian,pickle,0.0,1.0,servings/week,strict,achar,0.9,FSSAI,Indian pickles are extremely high in sodium
HYP040,Hypertension,South Asian,papad,0.0,1.0,servings/week,strict,papad,0.85,FSSAI,Papad contains high sodium and should be limited
HYP041,Hypertension,Young Adult,sodium,0.0,1500.0,mg/day,strict,fast_food,0.92,AHA,Young adults with hypertension should avoid fast food sodium
HYP042,Hypertension,Young Adult,alcohol,0.0,1.0,units/day,moderate,cocktails,0.85,AHA,Alcohol strongly associated with early-onset hypertension
HYP043,Hypertension,Young Adult,energy_drinks,0.0,0.0,servings/day,strict,energy_drinks,0.9,AHA,Energy drinks raise blood pressure acutely in young adults
HYP044,Hypertension,Young Adult,processed_snacks,0.0,0.0,servings/day,strict,chips,0.88,AHA,Processed snacks are major sodium source in young adults
HYP045,Hypertension,Exercise Intolerant,beetroot,1.0,2.0,servings/day,recommended,low_nitrate,0.72,AHA,Dietary nitrates from beetroot improve blood pressure
HYP046,Hypertension,Exercise Intolerant,dark_chocolate,0.0,30.0,g/day,moderate,milk_chocolate,0.65,AHA,Dark chocolate flavonoids modestly lower blood pressure
HYP047,Hypertension,Exercise Intolerant,garlic,1.0,3.0,cloves/day,recommended,low_garlic,0.68,AHA,Garlic contains allicin which moderately reduces blood pressure
HYP048,Hypertension,Exercise Intolerant,berries,1.0,2.0,cups/day,recommended,sugary_alternatives,0.72,AHA,Berries high in flavonoids that support blood pressure reduction
HYP049,Hypertension,With Obesity,sodium,0.0,1500.0,mg/day,strict,restaurant_salt,0.97,AHA/WHO,Obese hypertensives need combined sodium and caloric restriction
HYP050,Hypertension,With Obesity,calories,1400.0,1800.0,kcal/day,strict,high_calorie,0.95,AHA/WHO,Weight loss of 10kg can reduce systolic BP by 20mmHg
HYP051,Hypertension,With Cholesterol,saturated_fat,0.0,7.0,g/day,strict,butter,0.97,AHA,Saturated fat doubles risk when hypertension and cholesterol coexist
HYP052,Hypertension,With Cholesterol,omega3,1000.0,3000.0,mg/day,recommended,fried_food,0.88,AHA,Omega-3 benefits both blood pressure and lipid profile
HYP053,Hypertension,With Fatty Liver,sodium,0.0,1500.0,mg/day,strict,pickled_food,0.97,AHA/NHS,Sodium control important for hypertension complicated by fatty liver
HYP054,Hypertension,With Fatty Liver,fructose,0.0,20.0,g/day,strict,juice,0.93,NHS,Fructose restriction targets both fatty liver and blood pressure
HYP055,Hypertension,South Asian,namkeen,0.0,0.0,servings/day,strict,namkeen_mix,0.93,FSSAI,Namkeen and savory mixes are concentrated sodium sources
HYP056,Hypertension,South Asian,pappad,0.0,1.0,servings/week,strict,pappad,0.88,FSSAI,Roasted pappad is preferred over fried but still high sodium
HYP057,Hypertension,South Asian,chutneys,0.0,1.0,servings/day,moderate,tamarind_chutney,0.8,FSSAI,Chutneys often contain added salt and must be moderated
HYP058,Hypertension,MIND Diet,berries,1.0,2.0,servings/day,recommended,no_berries,0.78,AHA,MIND diet berries reduce cardiovascular inflammation
HYP059,Hypertension,MIND Diet,leafy_greens,2.0,3.0,servings/day,recommended,low_greens,0.8,AHA,MIND diet leafy greens provide folate and potassium for BP
HYP060,Hypertension,MIND Diet,nuts,1.0,2.0,servings/day,recommended,processed_snacks,0.75,AHA,Unsalted nuts provide magnesium and healthy fats for BP control
HYP061,Hypertension,COPD,sodium,0.0,2000.0,mg/day,moderate,processed_food,0.85,NHS/AHA,COPD with hypertension needs moderate sodium management
HYP062,Hypertension,COPD,potassium,3000.0,4700.0,mg/day,recommended,low_potassium,0.82,NHS,Potassium important for hypertension in COPD patients
HYP063,Hypertension,Sleep Apnea,alcohol,0.0,0.0,units/day,strict,alcohol,0.9,NHS/AHA,Alcohol worsens sleep apnea which independently raises blood pressure
HYP064,Hypertension,Sleep Apnea,calories,1400.0,2000.0,kcal/day,moderate,overeating,0.88,NHS,Weight loss is primary treatment for obesity sleep apnea hypertension
HYP065,Hypertension,Diuretic,potassium,3500.0,4700.0,mg/day,recommended,low_potassium,0.88,AHA,Thiazide diuretics deplete potassium requiring dietary replacement
HYP066,Hypertension,Diuretic,magnesium,310.0,420.0,mg/day,recommended,low_magnesium,0.85,AHA,Diuretics also deplete magnesium requiring adequate dietary intake
HYP067,Hypertension,Diuretic,sodium,0.0,1500.0,mg/day,strict,sodium_excess,0.95,AHA,Sodium restriction enhances diuretic medication effectiveness
HYP068,Hypertension,Beta Blocker,caffeine,0.0,200.0,mg/day,moderate,coffee,0.75,NHS,Caffeine may reduce antihypertensive effect of beta blockers
HYP069,Hypertension,Beta Blocker,potassium,2000.0,3500.0,mg/day,moderate,excess_potassium,0.8,NHS,Beta blockers raise potassium so moderate potassium foods
HYP070,Hypertension,ACE Inhibitor,potassium,2000.0,3000.0,mg/day,moderate,high_potassium,0.85,NHS,ACE inhibitors raise potassium levels so limit high potassium foods
DIA001,Diabetes,Type 2,added_sugar,0.0,25.0,g/day,strict,sugar,0.97,ADA,Limit added sugars strictly to control blood glucose
DIA002,Diabetes,Type 2,refined_carbs,0.0,0.0,g/day,strict,white_rice,0.95,ADA,Avoid refined carbohydrates that spike blood glucose
DIA003,Diabetes,Type 2,glycemic_index,0.0,55.0,GI score,strict,high_GI_foods,0.93,ADA,Choose only low glycemic index foods
DIA004,Diabetes,Type 2,fiber,25.0,38.0,g/day,recommended,processed_grains,0.85,ADA,High fiber slows glucose absorption
DIA005,Diabetes,Type 2,saturated_fat,0.0,7.0,g/day,strict,fatty_meat,0.88,ADA,Saturated fat worsens insulin resistance
DIA006,Diabetes,Type 2,total_carbs,45.0,130.0,g/day,moderate,candy,0.8,ADA,Distribute carbohydrate intake evenly across meals
DIA007,Diabetes,Type 2,sodium,0.0,2300.0,mg/day,moderate,table_salt,0.75,ADA,Moderate sodium restriction for diabetics with hypertension
