rule_id,condition,sub_condition,nutrient,threshold_min,threshold_max,unit,restriction_level,ingredient_flag,risk_weight,guideline_source,recommendation
HYP001,Hypertension,Stage 1,sodium,0,1500,mg/day,strict,salt,0.95,WHO/AHA,"Limit sodium to under 1500mg/day to reduce blood pressure"
HYP002,Hypertension,Stage 1,potassium,3500,4700,mg/day,recommended,low_potassium_foods,0.85,AHA,"Increase potassium intake through bananas and leafy greens"
HYP003,Hypertension,Stage 1,saturated_fat,0,7,g/day,moderate,butter,0.80,AHA,"Reduce saturated fat intake to lower cardiovascular risk"
HYP004,Hypertension,Stage 1,alcohol,0,0,units/day,strict,alcohol,0.90,WHO,"Avoid alcohol as it raises blood pressure"
HYP005,Hypertension,Stage 1,magnesium,310,420,mg/day,recommended,processed_foods,0.75,AHA,"Adequate magnesium helps regulate blood pressure"
HYP006,Hypertension,Stage 2,sodium,0,1200,mg/day,strict,salt,0.98,WHO/AHA,"Severely restrict sodium to under 1200mg/day"
HYP007,Hypertension,Stage 2,saturated_fat,0,5,g/day,strict,red_meat,0.88,AHA,"Strictly limit saturated fats in Stage 2 hypertension"
HYP008,Hypertension,Stage 2,caffeine,0,200,mg/day,moderate,coffee,0.70,NHS,"Limit caffeine as it may cause short-term BP spikes"
HYP009,Hypertension,Stage 2,fiber,25,40,g/day,recommended,refined_grains,0.78,AHA,"High fiber diet lowers blood pressure"
HYP010,Hypertension,Stage 2,omega3,1000,3000,mg/day,recommended,fried_foods,0.82,AHA,"Omega-3 fatty acids reduce cardiovascular risk"
HYP011,Hypertension,General,trans_fat,0,0,g/day,strict,margarine,0.95,WHO,"Zero trans fat intake for hypertensive patients"
HYP012,Hypertension,General,calcium,1000,1200,mg/day,recommended,low_calcium_foods,0.72,AHA,"Adequate calcium contributes to blood pressure regulation"
HYP013,Hypertension,General,processed_food,0,0,servings/day,strict,processed_meat,0.90,NHS,"Avoid processed foods high in hidden sodium"
HYP014,Hypertension,General,added_sugar,0,25,g/day,moderate,sugary_drinks,0.75,WHO,"Excess sugar raises blood pressure indirectly"
HYP015,Hypertension,General,total_fat,0,30,percent,moderate,deep_fried,0.80,AHA,"Keep total fat under 30% of daily calories"
HYP016,Hypertension,DASH Diet,fruits,4,5,servings/day,recommended,canned_fruit_syrup,0.70,AHA/DASH,"Follow DASH diet with adequate fruit servings"
HYP017,Hypertension,DASH Diet,vegetables,4,5,servings/day,recommended,pickled_vegetables,0.72,AHA/DASH,"Increase fresh vegetable intake for DASH compliance"
HYP018,Hypertension,DASH Diet,whole_grains,6,8,servings/day,recommended,white_bread,0.68,AHA/DASH,"Choose whole grains over refined carbohydrates"
HYP019,Hypertension,DASH Diet,low_fat_dairy,2,3,servings/day,recommended,full_fat_dairy,0.65,AHA/DASH,"Use low-fat dairy instead of full-fat options"
HYP020,Hypertension,DASH Diet,lean_protein,1,2,servings/day,recommended,processed_protein,0.70,AHA/DASH,"Choose lean poultry and fish over red meat"
DIA001,Diabetes,Type 2,added_sugar,0,25,g/day,strict,sugar,0.97,ADA,"Limit added sugars strictly to control blood glucose"
DIA002,Diabetes,Type 2,refined_carbs,0,0,g/day,strict,white_rice,0.95,ADA,"Avoid refined carbohydrates that spike blood glucose"
DIA003,Diabetes,Type 2,glycemic_index,0,55,GI score,strict,high_GI_foods,0.93,ADA,"Choose only low glycemic index foods"
DIA004,Diabetes,Type 2,fiber,25,38,g/day,recommended,processed_grains,0.85,ADA,"High fiber slows glucose absorption"
DIA005,Diabetes,Type 2,saturated_fat,0,7,percent,strict,fatty_meat,0.88,ADA,"Saturated fat worsens insulin resistance"
DIA006,Diabetes,Type 2,total_carbs,45,60,percent,moderate,candy,0.80,ADA,"Distribute carbohydrate intake evenly across meals"
DIA007,Diabetes,Type 2,sodium,0,2300,mg/day,moderate,table_salt,0.75,ADA,"Moderate sodium restriction for diabetics with hypertension"
DIA008,Diabetes,Type 2,alcohol,0,1,units/day,moderate,beer,0.82,ADA,"Alcohol can cause hypoglycemia especially without food"
