Condition,Severity,Parameter,Nutrient_Ingredient,Threshold,Unit,RiskWeight,Recommendation,Reason,Source
Hypertension,Elevated,BP 120-129,Sodium,2300,mg,3,Limit,High sodium intake raises blood pressure,WHO
Hypertension,Elevated,BP 120-129,Added Sugar,36,g,2,Limit,Excess sugar contributes to weight gain and BP elevation,AHA
Hypertension,Elevated,BP 120-129,Caffeine,300,mg,2,Limit,Caffeine can cause transient BP spikes,NHS
Hypertension,Elevated,BP 120-129,Saturated Fat,20,g,3,Limit,Saturated fat promotes arterial stiffness,AHA
Hypertension,Elevated,BP 120-129,Processed Meat,50,g,3,Limit,Processed meats are high in sodium and preservatives,WHO
Hypertension,Elevated,BP 120-129,Pickles,30,g,3,Limit,Pickles contain very high sodium levels,NHS
Hypertension,Elevated,BP 120-129,MSG,500,mg,2,Limit,MSG contributes to sodium load,FSSAI
Hypertension,Stage1,BP 130-139,Sodium,2000,mg,6,Avoid Often,Sodium restriction is critical in Stage 1 hypertension,WHO
Hypertension,Stage1,BP 130-139,Added Sugar,25,g,5,Avoid Often,Sugar increases insulin resistance worsening hypertension,AHA
Hypertension,Stage1,BP 130-139,Caffeine,200,mg,5,Avoid Often,Regular caffeine raises resting blood pressure,NHS
Hypertension,Stage1,BP 130-139,Saturated Fat,15,g,6,Avoid Often,Saturated fat hardens arteries increasing BP,AHA
Hypertension,Stage1,BP 130-139,Trans Fat,2,g,7,Avoid,Trans fat increases LDL and arterial inflammation,AHA
Hypertension,Stage1,BP 130-139,Processed Meat,30,g,6,Avoid Often,High sodium and nitrates in processed meats worsen BP,WHO
Hypertension,Stage1,BP 130-139,Soft Drinks,250,ml,5,Avoid Often,Soft drinks add sugar and phosphoric acid harmful for BP,AHA
Hypertension,Stage1,BP 130-139,Pickles,20,g,6,Avoid Often,Very high sodium content in pickles,NHS
Hypertension,Stage1,BP 130-139,Instant Noodles,1,serving,6,Avoid Often,Instant noodles contain excessive sodium per serving,FSSAI
Hypertension,Stage1,BP 130-139,White Bread,60,g,4,Limit,Refined carbs spike insulin linked to BP elevation,NHS
Hypertension,Stage2,BP >=140,Sodium,1500,mg,9,Strictly Avoid,Excess sodium critically worsens severe hypertension,WHO
Hypertension,Stage2,BP >=140,Added Sugar,15,g,8,Avoid,Sugar worsens metabolic syndrome and hypertension,AHA
Hypertension,Stage2,BP >=140,Caffeine,100,mg,7,Avoid,Caffeine causes acute hypertensive episodes,NHS
Hypertension,Stage2,BP >=140,Saturated Fat,10,g,8,Avoid,Saturated fat severely impacts arterial health,AHA
Hypertension,Stage2,BP >=140,Trans Fat,0,g,10,Strictly Avoid,Trans fat is critically dangerous for hypertensive patients,AHA
Hypertension,Stage2,BP >=140,Processed Meat,0,g,9,Strictly Avoid,Processed meat is a major sodium and nitrate source,WHO
Hypertension,Stage2,BP >=140,Soft Drinks,0,ml,8,Avoid,Sugar and phosphoric acid in sodas worsen hypertension,AHA
Hypertension,Stage2,BP >=140,Pickles,0,g,9,Strictly Avoid,Pickles are critically high in sodium,NHS
Hypertension,Stage2,BP >=140,Instant Noodles,0,serving,9,Strictly Avoid,Instant noodles have dangerous sodium levels,FSSAI
Hypertension,Stage2,BP >=140,Energy Drinks,0,ml,10,Strictly Avoid,Energy drinks spike BP dangerously,AHA
Hypertension,Stage2,BP >=140,MSG,0,mg,8,Avoid,MSG adds significant sodium load,FSSAI
Hypertension,Stage2,BP >=140,Cholesterol,200,mg,8,Avoid,High dietary cholesterol worsens cardiovascular risk,AHA
Diabetes,Prediabetic,Fasting Sugar 100-125,Added Sugar,25,g,6,Avoid Often,Added sugar raises blood glucose rapidly,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,Refined Flour,50,g,5,Avoid Often,Refined flour spikes blood glucose levels,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,Glucose Syrup,10,g,7,Avoid,Glucose syrup causes rapid glycemic spike,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,Corn Syrup,10,g,7,Avoid,Corn syrup has very high glycemic index,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,Soft Drinks,150,ml,6,Avoid Often,Sugary drinks rapidly raise blood glucose,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,White Bread,60,g,5,Avoid Often,White bread has high glycemic index,NHS
Diabetes,Prediabetic,Fasting Sugar 100-125,Pastries,50,g,6,Avoid Often,Pastries contain refined carbs and added sugars,NHS
Diabetes,Prediabetic,Fasting Sugar 100-125,Calories,2000,kcal,4,Limit,Caloric excess promotes insulin resistance,ADA
Diabetes,Prediabetic,Fasting Sugar 100-125,Saturated Fat,20,g,5,Avoid Often,Saturated fat worsens insulin resistance,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Added Sugar,10,g,9,Strictly Avoid,Added sugar critically elevates blood glucose,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Refined Flour,30,g,8,Avoid,Refined flour causes uncontrolled glucose spikes,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Glucose Syrup,0,g,10,Strictly Avoid,Glucose syrup causes dangerous blood sugar spikes,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Corn Syrup,0,g,10,Strictly Avoid,Corn syrup dramatically elevates blood glucose,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Soft Drinks,0,ml,9,Strictly Avoid,Sugary beverages are critically harmful for diabetics,ADA
Diabetes,Diabetic,Fasting Sugar >=126,White Bread,30,g,7,Avoid,White bread spikes blood sugar rapidly,NHS
Diabetes,Diabetic,Fasting Sugar >=126,Pastries,0,g,9,Strictly Avoid,Pastries are high in sugar and refined carbs,NHS
Diabetes,Diabetic,Fasting Sugar >=126,Energy Drinks,0,ml,10,Strictly Avoid,Energy drinks contain massive sugar loads,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Bakery Products,30,g,8,Avoid,Bakery products are dense in refined carbs and sugar,FSSAI
Diabetes,Diabetic,Fasting Sugar >=126,Trans Fat,0,g,8,Avoid,Trans fat worsens insulin resistance,ADA
Diabetes,Diabetic,Fasting Sugar >=126,Saturated Fat,15,g,7,Avoid,Saturated fat increases cardiovascular risk in diabetics,ADA
Diabetes,Severe,HbA1c >=9,Added Sugar,0,g,10,Strictly Avoid,Any added sugar is critically dangerous,ADA
Diabetes,Severe,HbA1c >=9,Refined Flour,0,g,10,Strictly Avoid,Refined carbs cause life-threatening glucose spikes,ADA
Diabetes,Severe,HbA1c >=9,Glucose Syrup,0,g,10,Strictly Avoid,Glucose syrup is critically dangerous,ADA
Diabetes,Severe,HbA1c >=9,Corn Syrup,0,g,10,Strictly Avoid,Corn syrup critically elevates HbA1c,ADA
Diabetes,Severe,HbA1c >=9,Soft Drinks,0,ml,10,Strictly Avoid,Zero tolerance for sugary beverages,ADA
Diabetes,Severe,HbA1c >=9,Calories,1800,kcal,8,Avoid,Strict caloric control is essential in severe diabetes,ADA
Diabetes,Severe,HbA1c >=9,Saturated Fat,10,g,8,Avoid,Saturated fat worsens diabetic complications,ADA
Diabetes,Severe,HbA1c >=9,Cholesterol,150,mg,7,Avoid,Diabetics face elevated cardiovascular risk from cholesterol,ADA
Obesity,Overweight,BMI 25-29.9,Calories,2000,kcal,5,Limit,Caloric surplus causes weight gain,WHO
Obesity,Overweight,BMI 25-29.9,Added Sugar,25,g,5,Avoid Often,Added sugar contributes empty calories,WHO
Obesity,Overweight,BMI 25-29.9,Saturated Fat,20,g,5,Avoid Often,Saturated fat is calorie-dense and promotes fat storage,AHA
Obesity,Overweight,BMI 25-29.9,Trans Fat,2,g,7,Avoid,Trans fat promotes visceral fat accumulation,AHA
Obesity,Overweight,BMI 25-29.9,Soft Drinks,250,ml,5,Avoid Often,Liquid calories contribute to weight gain,WHO
Obesity,Overweight,BMI 25-29.9,Refined Flour,60,g,4,Limit,Refined carbs spike insulin promoting fat storage,NHS
Obesity,Overweight,BMI 25-29.9,Bakery Products,50,g,5,Avoid Often,High calorie dense foods promote obesity,FSSAI
Obesity,Overweight,BMI 25-29.9,Energy Drinks,0,ml,7,Avoid,Energy drinks have very high calorie content,AHA
Obesity,Obese I,BMI 30-34.9,Calories,1800,kcal,7,Avoid,Strict caloric control needed for weight reduction,WHO
Obesity,Obese I,BMI 30-34.9,Added Sugar,15,g,7,Avoid,Added sugar worsens metabolic syndrome in obesity,WHO
Obesity,Obese I,BMI 30-34.9,Saturated Fat,15,g,7,Avoid,Saturated fat promotes visceral adiposity,AHA
